Sr No.,Quality,Item,Color/Range,Size,Op. Stock,Total IN/Pur.,Total OUT/Sale,Net Stock
405,NA,KH-427 [1],Satin,96mm,0,234,254,-20
406,NA,KH-427 [1],Satin,160mm,0,164,30,134
407,NA,KH-427 [1],Satin,288mm,0,23,5,18
408,NA,KH-427 [1],CP,224mm,0,42,5,37
409,NA,KH-427 [1],CP,288mm,0,30,0,30
410,NA,KH-427 [1],CP,160mm,0,100,0,100
411,NA,KH-427 [1],CP,96mm,0,142,19,123
412,NA,KH-428 [1],Satin,160mm,0,93,1,92
413,NA,KH-428 [1],Satin,224mm,0,50,0,50
414,NA,KH-428 [1],CP,224mm,0,43,1,42
415,NA,KH-428 [1],Satin,96mm,0,200,11,189
416,NA,KH-428 [1],CP,160mm,0,103,0,103
417,NA,KH-428 [1],CP,96mm,0,197,18,179
418,NA,KH-430 [1],CP,128mm,0,244,29,215
419,NA,KH-430 [1],CP,224mm,0,84,2,82
420,NA,KH-430 [1],CP,160mm,0,289,14,275
421,NA,KH-430 [1],CP,96mm,0,437,193,244
422,NA,KH-431 [1],CPTT,160mm,0,0,73,-73
423,NA,KH-431 [1],CPTT,224mm,0,0,10,-10
424,NA,KH-431 [1],CPTT,128mm,0,0,89,-89
425,NA,KH-431 [1],CPTT,96mm,0,0,321,-321
426,NA,KH-432 [1],CPTT,160mm,0,0,204,-204
427,NA,KH-432 [1],CPTT,224mm,0,0,14,-14
428,NA,KH-432 [1],CPTT,96mm,0,0,1970,-1970
429,NA,KH-432 [1],CPTT,128mm,0,0,302,-302
430,NA,KH-435 [1],CPTT,224mm,0,0,20,-20
431,NA,KH-435 [1],CPTT,128mm,0,0,43,-43
432,NA,KH-435 [1],CPTT,96mm,0,201,314,-113
433,NA,KH-435 [2],CPTT,160mm,0,0,19,-19
434,NA,KH-436 [1],CPTT,160mm,0,0,83,-83
435,NA,KH-436 [1],CPTT,128mm,0,0,41,-41
436,NA,KH-436 [1],CPTT,96mm,0,0,268,-268
437,NA,KH-437 [437],CPTT,64mm,0,0,466,-466
438,NA,KH-437 [437],CPTT,128mm,0,512,677,-165
439,NA,KH-437 [437],CPTT,96mm,0,2014,2204,-190
440,NA,KH-438 [1],CP,96mm,0,0,56,-56
441,NA,KH-438 [1],CPTT,160mm,0,211,64,147
442,NA,KH-438 [1],CPTT,224mm,0,0,18,-18
443,NA,KH-438 [1],CPTT,96mm,0,320,329,-9
444,NA,KH-438 [1],CPTT,128mm,0,0,115,-115
445,NA,KH-439 [1],CPTT,160mm,0,0,40,-40
446,NA,KH-439 [1],CPTT,128mm,0,0,85,-85
447,NA,KH-439 [1],CPTT,96mm,0,0,183,-183
448,NA,KH-440 [1],CPTT,160mm,0,545,457,88
449,NA,KH-440 [1],CPTT,128mm,0,938,1770,-832
450,NA,KH-440 [1],CPTT,96mm,0,0,3520,-3520
451,NA,KH-440 [4],CPTT,224mm,0,0,78,-78
452,NA,KH-441 [1],CPTT,160mm,0,529,418,111
453,NA,KH-441 [1],CPTT,128mm,0,1686,1550,136
454,NA,KH-441 [1],CPTT,96mm,0,2100,1286,814
455,NA,KH-443 [1],Silver Zari,128mm,0,211,418,-207
456,NA,KH-443 [1],Silver Zari,96mm,0,515,736,-221
457,NA,KH-444 [1],CP Wengi,128mm,0,203,326,-123
458,NA,KH-444 [1],CP Wengi,96mm,0,200,315,-115
459,NA,KH-446 [446],CPTT,96mm,0,0,360,-360
460,NA,KH-446 [446],CPTT,128mm,0,0,30,-30
461,NA,KH-447 [1],Antique,128mm,0,110,90,20
462,NA,KH-447 [1],Antique,96mm,0,260,50,210
463,NA,KH-447 [447],CP Wengi,160mm,0,88,50,38
464,NA,KH-447 [447],CP Wengi,128mm,0,210,485,-275
465,NA,KH-447 [447],CP Wengi,96mm,0,838,610,228
466,NA,KH-449 [1],CPTT,160mm,0,0,65,-65
